Contest1,Map Classification,Percent Range of Votes,Precinct Leader,Precinct1,Geometry,Latitude (generated),Longitude (generated),Citywide Votes,Precinct N
Referred Question 2O,MC75,50-75%,No/Against,1260116126,Polygon,39.643959514,-105.064292248,"146,876",126
Referred Question 2O,MC75,50-75%,No/Against,1260116127,Polygon,39.641340676,-105.043388905,"146,876",127
Referred Question 2O,MC75,50-75%,No/Against,1260116128,Polygon,39.635381536,-105.040211278,"146,876",128
Referred Question 2O,MC75,50-75%,No/Against,1260116129,Polygon,39.629778222,-105.033388172,"146,876",129
Referred Question 2O,MC75,50-75%,No/Against,1260116130,Polygon,39.631753306,-105.097146540,"146,876",130
Referred Question 2O,MC75,50-75%,No/Against,1260116131,Polygon,39.627910227,-105.099403639,"146,876",131
Referred Question 2O,MC75,50-75%,No/Against,1260116132,Polygon,39.631162152,-105.090660975,"146,876",132
Referred Question 2O,MC75,50-75%,No/Against,1260116133,Polygon,39.633134920,-105.079905315,"146,876",133
Referred Question 2O,MC75,50-75%,No/Against,1260116134,Polygon,39.626771194,-105.072086957,"146,876",134
Referred Question 2O,MC75,50-75%,No/Against,1260116135,Polygon,39.616542143,-105.074275854,"146,876",135
Referred Question 2O,MC75,50-75%,No/Against,1260316301,Polygon,39.668942543,-104.872089426,"146,876",301
Referred Question 2O,MC75,50-75%,No/Against,1260316302,Polygon,39.663973718,-104.874117963,"146,876",302
Referred Question 2O,MC75,50-75%,No/Against,1260316303,Polygon,39.658928096,-104.872941080,"146,876",303
Referred Question 2O,MC75,50-75%,No/Against,1260316305,Polygon,39.645572982,-104.918921864,"146,876",305
Referred Question 2O,MC75,50-75%,No/Against,1260316306,Polygon,39.649710266,-104.907512638,"146,876",306
Referred Question 2O,MC75,50-75%,No/Against,1260316307,Polygon,39.648373877,-104.892673574,"146,876",307
Referred Question 2O,MC75,50-75%,No/Against,1260316308,Polygon,39.644635449,-104.883123078,"146,876",308
Referred Question 2O,MC75,50-75%,No/Against,1260316309,Polygon,39.643870527,-104.903515295,"146,876",309
Referred Question 2O,MC75,50-75%,No/Against,1260316310,Polygon,39.637870611,-104.903026171,"146,876",310
Referred Question 2O,MC75,50-75%,No/Against,1260316311,Polygon,39.640292763,-104.895068664,"146,876",311
Referred Question 2O,MC75,50-75%,No/Against,1260316314,Polygon,39.629751282,-104.897699082,"146,876",314
Referred Question 2O,MC75,50-75%,No/Against,1260316315,MultiPolygon,39.630523397,-104.890072229,"146,876",315
Referred Question 2O,MC75,50-75%,No/Against,1260916925,Polygon,39.658129774,-104.906942512,"146,876",925
Referred Question 2O,MC75,50-75%,No/Against,1260916926,Polygon,39.662048918,-104.897704568,"146,876",926
Referred Question 2O,MC75,50-75%,No/Against,1260916927,Polygon,39.655894616,-104.902549969,"146,876",927
Referred Question 2O,MC75,50-75%,No/Against,1260916928,Polygon,39.659679427,-104.889733530,"146,876",928
Referred Question 2O,MC75,50-75%,No/Against,1310216201,Polygon,39.728169402,-104.980091076,"146,876",201
Referred Question 2O,MC75,50-75%,No/Against,1310216202,Polygon,39.724642714,-104.983135710,"146,876",202
Referred Question 2O,MC75,50-75%,No/Against,1310216203,Polygon,39.721337519,-104.976425422,"146,876",203
Referred Question 2O,MC75,50-75%,No/Against,1310216204,Polygon,39.726924498,-104.966413048,"146,876",204
Referred Question 2O,MC75,50-75%,No/Against,1310216205,Polygon,39.717932914,-104.965857184,"146,876",205
Referred Question 2O,MC75,50-75%,No/Against,1310216206,Polygon,39.717236744,-104.953241210,"146,876",206
Referred Question 2O,MC75,50-75%,No/Against,1310216207,Polygon,39.723068498,-104.944529569,"146,876",207
Referred Question 2O,MC75,50-75%,No/Against,1310216208,Polygon,39.715776931,-104.947787467,"146,876",208
Referred Question 2O,MC75,50-75%,No/Against,1310216209,Polygon,39.715455054,-104.943488604,"146,876",209
Referred Question 2O,MC75,50-75%,No/Against,1310216210,Polygon,39.721947019,-104.930540087,"146,876",210
